month,scheme_id,jaccard,l1_weight_change,new_positions,disappeared_positions
2023-09,nippon:SH,0.9242424242424242,0.0663,2,3
2023-09,nippon:TS,0.9538461538461539,0.06839999999999999,1,2
2023-09,ppfas:PPFCF,1.0,0.042300000000000004,0,0
2023-09,ppfas:PPTSF,1.0,0.0594,0,0
2023-09,sbi:SBAF,0.96,0.0362,2,1
2023-09,sbi:SBFS,0.7916666666666666,0.2172,3,2
2023-09,sbi:SBLUECHIP,0.96,0.0555,2,0
2023-09,sbi:SCF,0.9080459770114943,0.1731,5,3
2023-09,sbi:SCOF,0.9210526315789473,0.1933,3,0
2023-09,sbi:SDYF,1.0,0.052199999999999996,0,0
2023-09,sbi:SEHF,0.9714285714285714,0.0531,0,1
2023-09,sbi:SEMVF,1.0,0.035799999999999985,0,0
2023-09,sbi:SFEF,0.9523809523809523,0.08980000000000002,0,1
2023-09,sbi:SFLEXI,0.9090909090909091,0.08390000000000002,2,3
2023-09,sbi:SHOF,0.9166666666666666,0.1392,1,1
2023-09,sbi:SIF,0.8378378378378378,0.14909999999999998,3,3
2023-09,sbi:SLMF,0.9594594594594594,0.09000000000000001,2,1
2023-09,sbi:SLTEF,0.9375,0.07280000000000002,3,1
2023-09,sbi:SMAAF,0.9375,0.116,2,1
2023-09,sbi:SMCF,0.8095238095238095,0.13770000000000002,5,3
2023-09,sbi:SMCOMMA,0.7727272727272727,0.2605,2,3
2023-09,sbi:SMEEF,1.0,0.041800000000000004,0,0
2023-09,sbi:SMGLF,0.9545454545454546,0.08139999999999999,1,0
2023-09,sbi:SMIDCAP,0.8970588235294118,0.11649999999999999,7,0
2023-09,sbi:SPSU,0.8333333333333334,0.2715,2,2
2023-09,sbi:SSCF,0.9821428571428571,0.0638,1,0
2023-09,sbi:STAF-III,0.9545454545454546,0.047700000000000006,0,1
2023-09,sbi:STOF,1.0,0.045399999999999996,0,0
2023-09,uti:002,0.9642857142857143,0.019400000000000004,1,1
2023-09,uti:017,0.9787234042553191,0.06749999999999999,1,0
2023-09,uti:042,0.9821428571428571,0.0414,1,0
2023-09,uti:049,0.9166666666666666,0.1042,4,1
2023-09,uti:066,0.9032258064516129,0.06289999999999998,4,2
2023-09,uti:101,0.925,0.0871,2,1
2023-09,uti:118,0.9411764705882353,0.0766,1,1
2023-09,uti:125,0.9818181818181818,0.05040000000000001,0,1
2023-09,uti:160,0.9753086419753086,0.06629999999999998,1,1
2023-09,uti:161,0.9347826086956522,0.0848,3,0
2023-09,uti:162,0.9705882352941176,0.0389,1,0
2023-09,uti:163,0.9642857142857143,0.04740000000000001,1,0
2023-09,uti:190,0.9591836734693877,0.09219999999999999,1,1
2023-09,uti:193,0.9152542372881356,0.08570000000000001,3,2
2023-09,uti:251,1.0,0.044199999999999996,0,0
2023-09,uti:322,0.9591836734693877,0.0802,1,1
2023-09,uti:751,0.9518072289156626,0.1056,3,1
2023-09,uti:753,1.0,0.04170000000000004,0,0
