month,isin,holders,mean_weight_among_holders,mean_weight_all_funds,market_value_crore,matched_fund_holder_change,matched_fund_mean_weight_change,matched_funds
2023-08,INE0J1Y01017,28,0.006132259357142857,0.0008671881919191919,2298.9699,,,0
2023-08,INE0JA001018,1,0.0036,1.8181818181818182e-05,130.9698,,,0
2023-08,INE0JO301016,4,0.01168231375,0.00023600633838383837,78.6212,,,0
2023-08,INE0JUS01029,8,0.005281002875,0.00021337385353535355,336.0666,,,0
2023-08,INE0KCE01017,3,0.011933333333333332,0.0001808080808080808,57.424505,,,0
2023-08,INE0KL801015,3,0.013766666666666665,0.00020858585858585856,117.0529,,,0
2023-08,INE0LCL01028,4,0.005325,0.00010757575757575758,274.2978,,,0
2023-08,INE0LOJ01019,4,0.0034803195,7.030948484848485e-05,56.4792,,,0
2023-08,INE0LRU01027,7,0.0017113617142857141,6.0502686868686864e-05,83.509887,,,0
2023-08,INE0LXT01019,2,0.011036258,0.00011147735353535354,388.0675,,,0
2023-08,INE0N2P01017,6,0.004816666666666667,0.00014595959595959597,50.002,,,0
2023-08,INE0N7W01012,8,0.0007495825000000001,3.028616161616162e-05,96.0493,,,0
2023-08,INE0NDH25011,1,0.035,0.0001767676767676768,173.6548,,,0
2023-08,INE0NNS01018,16,0.01233828125,0.0009970328282828283,652.1316,,,0
2023-08,INE0NT901020,10,0.005397574800000001,0.0002726047878787879,99.311836,,,0
2023-08,INE0PA801013,6,0.00125,3.787878787878788e-05,56.0687,,,0
2023-08,INE0Q3R01026,9,0.0010981866666666667,4.991757575757576e-05,106.5976,,,0
2023-08,INE0Q3R04012,6,0.0,0.0,0.1583,,,0
2023-08,INE100A01010,26,0.009189743384615385,0.0012067339797979797,3584.2098689,,,0
2023-08,INE101A01026,81,0.02157254261728395,0.00882513107070707,15177.50253384,,,0
2023-08,INE101D01020,3,0.009361266,0.00014183736363636363,89.4613,,,0
2023-08,INE102D01028,40,0.013393979475000001,0.0027058544393939394,2428.725342,,,0
2023-08,INE103A01014,5,0.0070837574,0.00017888276262626262,111.204,,,0
2023-08,INE105A01035,11,0.007676403545454546,0.00042646686363636367,911.2782,,,0
2023-08,INE105A04013,6,0.0024645583333333335,7.468358585858586e-05,163.0442,,,0
2023-08,INE105J01010,1,0.010128986,5.1156494949494946e-05,15.129877769999998,,,0
2023-08,INE107A01015,4,0.007375804,0.0001490061414141414,102.4041,,,0
2023-08,INE111A01025,50,0.01081460862,0.002730961772727273,3969.547835,,,0
2023-08,INE112L01020,17,0.007159736823529413,0.0006147248787878789,599.9391,,,0
2023-08,INE113A01013,5,0.0014974754,3.7815035353535356e-05,28.7653,,,0
2023-08,INE114A01011,14,0.008829444928571429,0.0006243041868686869,492.3327,,,0
2023-08,INE115A01026,37,0.010719508972972974,0.002003140565656566,2978.212000925,,,0
2023-08,INE117A01022,28,0.015461885928571428,0.0021865293232323233,1937.512764,,,0
2023-08,INE118A01012,3,0.0595,0.0009015151515151514,2968.73569,,,0
2023-08,INE118D01016,16,0.009187210250000001,0.0007424008282828283,1377.359,,,0
2023-08,INE118H01025,1,0.0023,1.1616161616161616e-05,42.1735,,,0
2023-08,INE119A01028,15,0.007013194,0.0005313025757575758,842.72725,,,0
2023-08,INE120A01034,36,0.014240067666666665,0.002589103212121212,4266.720908,,,0
2023-08,INE121A01024,40,0.019845742424999997,0.004009240893939393,9347.637395,,,0
2023-08,INE121E01018,2,0.0042232960000000005,4.265955555555556e-05,37.0361,,,0
2023-08,INE121J01017,3,0.0041399616666666665,6.272669191919193e-05,9.2583,,,0
2023-08,INE123W01016,66,0.016483396515151516,0.005494465505050505,10000.89287963,,,0
2023-08,INE124G01033,6,0.00305,9.242424242424243e-05,448.4148,,,0
2023-08,INE126J01016,1,0.008,4.0404040404040405e-05,98.6375,,,0
2023-08,INE127D01025,31,0.013507619322580646,0.002114829287878788,4886.0589902,,,0
2023-08,INE128S01021,2,0.016548954999999997,0.0001671611616161616,78.862,,,0
2023-08,INE128X01021,8,0.008738231999999999,0.00035305987878787875,971.3775,,,0
2023-08,INE129A01019,29,0.016079677862068965,0.0023551043333333334,3742.2119,,,0
2023-08,INE131B01039,12,0.009839967,0.0005963616363636364,1836.741,,,0
2023-08,INE131C01011,1,0.0113,5.7070707070707066e-05,165.4729,,,0
2023-08,INE133A01011,10,0.011952468800000001,0.0006036600404040405,394.54,,,0
2023-08,INE133Y01011,4,0.005713368999999999,0.00011542159595959594,193.8826,,,0
2023-08,INE134E01011,32,0.01737401659375,0.002807921873737374,5741.11827106,,,0
2023-08,INE136B01020,14,0.020399738071428575,0.0014424057222222225,2678.7935,,,0
2023-08,INE136S01016,7,0.02072857142857143,0.0007328282828282829,510.51162,,,0
2023-08,INE138Y01010,10,0.0082417984,0.00041625244444444445,343.78358969,,,0
2023-08,INE139A01034,16,0.0098790330625,0.0007983057020202021,909.16055863,,,0
2023-08,INE139R01012,9,0.01251870277777778,0.0005690319444444445,612.881861855,,,0
2023-08,INE140A01024,3,0.008233333333333334,0.00012474747474747473,378.253,,,0
2023-08,INE142Q01026,7,0.008485714285714286,0.00030000000000000003,406.611,,,0
2023-08,INE142Z01019,19,0.008731952789473684,0.0008379146616161616,1334.9346768,,,0
2023-08,INE144Z01023,4,0.005535353,0.00011182531313131312,166.4475,,,0
2023-08,INE146L01010,5,0.011519999999999999,0.0002909090909090909,400.5609,,,0
2023-08,INE148I01020,3,0.004933333333333334,7.474747474747475e-05,52.285731,,,0
2023-08,INE148O01028,22,0.013430997454545455,0.0014923330505050504,4197.7457256,,,0
2023-08,INE149A01033,28,0.017569939,0.0024846378383838385,3953.7438629099997,,,0
2023-08,INE150G01020,3,0.0018999999999999998,2.8787878787878784e-05,153.0248,,,0
