month,scheme_id,stocks,observed_nav_weight
2026-04,absl:ADVG,73,0.9595946139999997
2026-04,absl:BDYP,50,0.9388727219999999
2026-04,absl:BINFRA,60,0.9586858289999993
2026-04,absl:BSL95F,85,0.7591871100000002
2026-04,absl:BSLBKFS,39,0.983859151
2026-04,absl:BSLDAAF,91,0.761380622
2026-04,absl:BSLEQTY,78,0.9861434609999998
2026-04,absl:BSLFEF,79,0.9799957180000001
2026-04,absl:BSLMFG,65,0.9842752990000004
2026-04,absl:BSLNMF,30,0.9224092130000002
2026-04,absl:BSLPHF,38,0.986061824
2026-04,absl:BSLR96,59,0.9800165250000001
2026-04,absl:BSLTA1,88,0.934510602
2026-04,absl:BTOP100,30,0.9553966090000001
2026-04,absl:GENNEXT,73,0.990457255
2026-04,absl:MIDCAP,79,0.970488707
2026-04,absl:MNC,71,0.9880710280000002
2026-04,absl:PSUEQ,33,0.983100623
2026-04,absl:PURE,71,0.957339847
2026-04,axis:AXISBCF,76,0.9601000000000002
2026-04,axis:AXISCON,60,0.9927000000000001
2026-04,axis:AXISDEF,108,0.7282000000000001
2026-04,axis:AXISEHF,88,0.7457000000000005
2026-04,axis:AXISEQF,46,0.8761000000000002
2026-04,axis:AXISESG,41,0.8624999999999999
2026-04,axis:AXISF25,27,0.9264
2026-04,axis:AXISGOF,87,0.8864999999999997
2026-04,axis:AXISIMF,90,0.9841999999999999
2026-04,axis:AXISMCF,87,0.8948999999999999
2026-04,axis:AXISMIF,67,0.8449999999999995
2026-04,axis:AXISMLC,117,0.9720999999999999
2026-04,axis:AXISMLF,59,0.9231999999999997
2026-04,axis:AXISQUA,25,0.8449000000000002
2026-04,axis:AXISSCF,136,0.8834999999999996
2026-04,axis:AXISSOF,38,0.9647
2026-04,axis:AXISSSF,46,0.8112999999999998
2026-04,axis:AXISTAF,83,0.6865
2026-04,axis:AXISTSF,77,0.9754
2026-04,axis:AXISVAL,91,0.9414
2026-04,dsp:Aggressive Hybrid,44,0.7044
2026-04,dsp:Banking and Financial Services,33,0.9523
2026-04,dsp:Business Cycle Fund,52,0.9019999999999998
2026-04,dsp:DAAF,51,0.6651999999999998
